"","Taxon","Group","Difference","P_value"
"180","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus","Control_days_0_to_7","NaN","NaN"
"181","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Tetragenococcus","Control_days_0_to_7","NaN","NaN"
"182","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Vagococcus","Control_days_0_to_7","NaN","NaN"
"183","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;Other","Control_days_0_to_7","NaN","NaN"
"184","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus","Control_days_0_to_7","0.0868642387564086","0.998735505078113"
"185","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus","Control_days_0_to_7","NaN","0.422649730810374"
"186","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__","Control_days_0_to_7","NaN","NaN"
"187","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc","Control_days_0_to_7","NaN","NaN"
"188","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella","Control_days_0_to_7","NaN","NaN"
"189","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;Other","Control_days_0_to_7","NaN","NaN"
"190","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus","Control_days_0_to_7","NaN","NaN"
"191","k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus","Control_days_0_to_7","171.871276595745","0.172046438996397"
"192","k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter","Control_days_0_to_7","584.952879581152","0.189421930431655"
"193","k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other;Other","Control_days_0_to_7","-100","0.422649730810374"
"194","k__Bacteria;p__Firmicutes;c__Clostridia;o__;f__;g__","Control_days_0_to_7","-78.571662250139","0.556435657244906"
"195","k__Bacteria;p__Firmicutes;c__Clostridia;o__BSA2B-08;f__;g__","Control_days_0_to_7","NaN","NaN"
"196","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other","Control_days_0_to_7","-25.4164223633377","0.814765556637066"
"197","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__","Control_days_0_to_7","147.467634626311","0.151137482207612"
"198","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__","Control_days_0_to_7","145.014812769109","0.277648018748194"
"199","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenella","Control_days_0_to_7","-12.9032350145437","0.926580750961655"
"200","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;Other","Control_days_0_to_7","NaN","0.271566239062038"
"201","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__","Control_days_0_to_7","632.624467365684","0.275441722203151"
"202","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__02d06","Control_days_0_to_7","NaN","NaN"
"203","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Alkaliphilus","Control_days_0_to_7","NaN","NaN"
"204","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Caloramator","Control_days_0_to_7","NaN","NaN"
"205","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus Arthromitus","Control_days_0_to_7","-58.2171216118667","0.29780943545917"
"206","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium","Control_days_0_to_7","-43.1722404154676","0.61171242957413"
"207","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53","Control_days_0_to_7","NaN","NaN"
"208","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__","Control_days_0_to_7","NaN","NaN"
"209","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium","Control_days_0_to_7","247.916769605036","0.0594974889701892"
"210","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis","Control_days_0_to_7","-48.8262910798122","0.528630433319151"
"211","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Pseudoramibacter_Eubacterium","Control_days_0_to_7","NaN","NaN"
"212","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Gracilibacteraceae;g__Gracilibacter","Control_days_0_to_7","NaN","0.422649730810374"
"213","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other","Control_days_0_to_7","-18.838725408375","0.558231038708234"
"214","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__","Control_days_0_to_7","74.2472108757725","0.17609657047257"
"215","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes","Control_days_0_to_7","-65.6628921881758","0.288672321848537"
"216","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia","Control_days_0_to_7","NaN","0.422649730810374"
"217","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio","Control_days_0_to_7","NaN","NaN"
"218","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium","Control_days_0_to_7","NaN","NaN"
"219","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus","Control_days_0_to_7","96.1447056563194","0.190165841467167"
"220","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea","Control_days_0_to_7","-28.3604959173263","0.681724960973355"
"221","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnobacterium","Control_days_0_to_7","NaN","NaN"
"222","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira","Control_days_0_to_7","NaN","NaN"
"223","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio","Control_days_0_to_7","NaN","NaN"
"224","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Control_days_0_to_7","NaN","0.422649730810374"
"225","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia","Control_days_0_to_7","NaN","NaN"
"226","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]","Control_days_0_to_7","-29.6363734704903","0.781990243644211"
"227","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__","Control_days_0_to_7","381.396890757769","0.352888932430758"
"228","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfosporosinus","Control_days_0_to_7","NaN","NaN"
"229","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfotomaculum","Control_days_0_to_7","NaN","NaN"
"230","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4","Control_days_0_to_7","708.406779661017","0.464643959855205"
"231","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;Other","Control_days_0_to_7","NaN","NaN"
"232","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__","Control_days_0_to_7","NaN","NaN"
"233","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;Other","Control_days_0_to_7","984.679254759775","0.0655208767879599"
"234","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__","Control_days_0_to_7","282.926412425812","0.0691803933218084"
"235","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus","Control_days_0_to_7","NaN","NaN"
"236","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Control_days_0_to_7","NaN","NaN"
"237","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Control_days_0_to_7","297.606428289539","0.0333731547713643"
"238","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus","Control_days_0_to_7","305.56805028526","0.0533328806660001"
"239","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__","Control_days_0_to_7","NaN","NaN"
"240","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister","Control_days_0_to_7","NaN","NaN"
"241","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella","Control_days_0_to_7","-52.9496402877698","0.641289754440671"
"242","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];Other","Control_days_0_to_7","NaN","NaN"
"243","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__","Control_days_0_to_7","33.3349844277337","0.588956784874284"
"244","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__Anaerovorax","Control_days_0_to_7","-100","0.422649730810374"
"245","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus","Control_days_0_to_7","NaN","NaN"
"246","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Finegoldia","Control_days_0_to_7","NaN","NaN"
"247","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Peptoniphilus","Control_days_0_to_7","NaN","NaN"
"248","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Sporanaerobacter","Control_days_0_to_7","NaN","NaN"
"249","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;Other","Control_days_0_to_7","NaN","NaN"
"250","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__","Control_days_0_to_7","-62.1124466628328","0.196395084362009"
"251","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum","Control_days_0_to_7","-95.9654289617207","0.00843801912294252"
"252","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium","Control_days_0_to_7","-100","0.183647806805323"
"253","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus","Control_days_0_to_7","-50.441764469387","0.193486238267925"
"254","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania","Control_days_0_to_7","NaN","NaN"
"255","k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium]","Control_days_0_to_7","NaN","NaN"
"256","k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium","Control_days_0_to_7","NaN","NaN"
"257","k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Psychrilyobacter","Control_days_0_to_7","NaN","NaN"
"258","k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia","Control_days_0_to_7","NaN","NaN"
"259","k__Bacteria;p__GN02;c__BD1-5;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"260","k__Bacteria;p__GN02;c__GKS2-174;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"261","k__Bacteria;p__Gemmatimonadetes;c__Gemm-5;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"262","k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"263","k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;Other;Other","Control_days_0_to_7","NaN","NaN"
"264","k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__","Control_days_0_to_7","NaN","NaN"
"265","k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Ellin5301;g__","Control_days_0_to_7","NaN","NaN"
"266","k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas","Control_days_0_to_7","NaN","NaN"
"267","k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__KD8-87;f__;g__","Control_days_0_to_7","NaN","NaN"
"268","k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae;g__","Control_days_0_to_7","NaN","NaN"
"269","k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira","Control_days_0_to_7","NaN","NaN"
"270","k__Bacteria;p__OD1;c__;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"271","k__Bacteria;p__OD1;c__ABY1;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"272","k__Bacteria;p__OD1;c__Mb-NB09;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"273","k__Bacteria;p__OD1;c__SM2F11;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"274","k__Bacteria;p__OD1;c__ZB2;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"275","k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__;g__","Control_days_0_to_7","NaN","NaN"
"276","k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__B97;f__;g__","Control_days_0_to_7","NaN","NaN"
"277","k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__","Control_days_0_to_7","NaN","NaN"
"278","k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata","Control_days_0_to_7","NaN","NaN"
"279","k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Isosphaeraceae;g__","Control_days_0_to_7","NaN","NaN"
"280","k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__","Control_days_0_to_7","NaN","NaN"
"281","k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces","Control_days_0_to_7","NaN","NaN"
"282","k__Bacteria;p__Planctomycetes;c__vadinHA49;o__DH61;f__;g__","Control_days_0_to_7","NaN","NaN"
"283","k__Bacteria;p__Proteobacteria;Other;Other;Other;Other","Control_days_0_to_7","NaN","NaN"
"284","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__","Control_days_0_to_7","-47.1494607087827","0.759327285938599"
"285","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3;f__;g__","Control_days_0_to_7","NaN","NaN"
"286","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__","Control_days_0_to_7","NaN","NaN"
"287","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas","Control_days_0_to_7","NaN","NaN"
"288","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Mycoplana","Control_days_0_to_7","NaN","NaN"
"289","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium","Control_days_0_to_7","NaN","NaN"
"290","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329;f__;g__","Control_days_0_to_7","NaN","NaN"
"291","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__","Control_days_0_to_7","-65.1534145260776","0.261117912217329"
"292","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;Other;Other","Control_days_0_to_7","NaN","NaN"
"293","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__","Control_days_0_to_7","NaN","NaN"
"294","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae;g__","Control_days_0_to_7","NaN","NaN"
"295","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__","Control_days_0_to_7","NaN","NaN"
"296","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__","Control_days_0_to_7","NaN","NaN"
"297","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas","Control_days_0_to_7","NaN","NaN"
"298","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium","Control_days_0_to_7","NaN","NaN"
"299","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum","Control_days_0_to_7","NaN","NaN"
"300","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia","Control_days_0_to_7","NaN","NaN"
"301","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium","Control_days_0_to_7","NaN","NaN"
"302","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Pedomicrobium","Control_days_0_to_7","NaN","NaN"
"303","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes","Control_days_0_to_7","NaN","NaN"
"304","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__","Control_days_0_to_7","NaN","NaN"
"305","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium","Control_days_0_to_7","-100","0.422649730810374"
"306","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__","Control_days_0_to_7","NaN","NaN"
"307","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__Methylosinus","Control_days_0_to_7","NaN","NaN"
"308","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium","Control_days_0_to_7","NaN","NaN"
"309","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus","Control_days_0_to_7","NaN","NaN"
"310","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter","Control_days_0_to_7","NaN","NaN"
"311","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium","Control_days_0_to_7","NaN","NaN"
"312","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__","Control_days_0_to_7","NaN","NaN"
"313","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidocella","Control_days_0_to_7","NaN","NaN"
"314","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas","Control_days_0_to_7","NaN","NaN"
"315","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__","Control_days_0_to_7","NaN","NaN"
"316","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Novispirillum","Control_days_0_to_7","NaN","NaN"
"317","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Skermanella","Control_days_0_to_7","NaN","NaN"
"318","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__","Control_days_0_to_7","NaN","NaN"
"319","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__","Control_days_0_to_7","NaN","NaN"
"320","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;Other","Control_days_0_to_7","-100","0.422649730810374"
"321","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;g__Thalassiosira","Control_days_0_to_7","NaN","NaN"
"322","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__;g__","Control_days_0_to_7","NaN","NaN"
"323","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__","Control_days_0_to_7","NaN","NaN"
"324","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter","Control_days_0_to_7","NaN","NaN"
"325","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium","Control_days_0_to_7","NaN","NaN"
"326","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium","Control_days_0_to_7","NaN","NaN"
"327","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas","Control_days_0_to_7","NaN","NaN"
"328","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis","Control_days_0_to_7","NaN","NaN"
"329","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other;Other;Other","Control_days_0_to_7","NaN","NaN"
"330","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"331","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;Other;Other","Control_days_0_to_7","-5.75539568345323","0.971847414167981"
"332","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__","Control_days_0_to_7","NaN","NaN"
"333","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;Other","Control_days_0_to_7","NaN","NaN"
"334","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__","Control_days_0_to_7","NaN","NaN"
"335","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter","Control_days_0_to_7","NaN","NaN"
"336","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella","Control_days_0_to_7","-42.9648509165741","0.405045525812798"
"337","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia","Control_days_0_to_7","NaN","NaN"
"338","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;Other","Control_days_0_to_7","NaN","NaN"
"339","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__","Control_days_0_to_7","-66.008316008316","0.183585415799436"
"340","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas","Control_days_0_to_7","NaN","NaN"
"341","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia","Control_days_0_to_7","NaN","NaN"
"342","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hylemonella","Control_days_0_to_7","NaN","NaN"
"343","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Limnohabitans","Control_days_0_to_7","NaN","NaN"
"344","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Tepidimonas","Control_days_0_to_7","NaN","NaN"
"345","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__","Control_days_0_to_7","NaN","NaN"
"346","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Cupriavidus","Control_days_0_to_7","NaN","NaN"
"347","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium","Control_days_0_to_7","NaN","NaN"
"348","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter","Control_days_0_to_7","NaN","NaN"
"349","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Polynucleobacter","Control_days_0_to_7","NaN","NaN"
"350","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Ralstonia","Control_days_0_to_7","NaN","NaN"
"351","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__","Control_days_0_to_7","NaN","NaN"
"352","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__Methylotenera","Control_days_0_to_7","NaN","NaN"
"353","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__","Control_days_0_to_7","NaN","NaN"
"354","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria","Control_days_0_to_7","NaN","NaN"
"355","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Procabacteriales;f__Procabacteriaceae;g__","Control_days_0_to_7","NaN","NaN"
