"","Taxon","Group","Difference","P_value"
"38","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__","Control_days_0_to_7","NaN","NaN"
"39","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Candidatus Rhodoluna","Control_days_0_to_7","NaN","NaN"
"40","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Clavibacter","Control_days_0_to_7","NaN","NaN"
"41","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Cryocola","Control_days_0_to_7","NaN","NaN"
"42","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium","Control_days_0_to_7","NaN","NaN"
"43","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Frigoribacterium","Control_days_0_to_7","NaN","NaN"
"44","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter","Control_days_0_to_7","NaN","NaN"
"45","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Pseudoclavibacter","Control_days_0_to_7","NaN","NaN"
"46","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Rathayibacter","Control_days_0_to_7","NaN","NaN"
"47","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;Other","Control_days_0_to_7","NaN","NaN"
"48","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__","Control_days_0_to_7","NaN","NaN"
"49","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria","Control_days_0_to_7","NaN","NaN"
"50","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus","Control_days_0_to_7","NaN","NaN"
"51","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia","Control_days_0_to_7","NaN","NaN"
"52","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia","Control_days_0_to_7","NaN","NaN"
"53","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium","Control_days_0_to_7","NaN","NaN"
"54","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;Other","Control_days_0_to_7","NaN","NaN"
"55","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus","Control_days_0_to_7","NaN","NaN"
"56","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__","Control_days_0_to_7","NaN","NaN"
